Up, Down, Date
UP:9667640.772512306,DOWN:7607065.911729141,DATE:2022-04-18 15:54:35.266786
UP:12564549.058281733,DOWN:16550205.882525835,DATE:2022-04-18 15:55:01.491898
UP:10207082.910925424,DOWN:6560910.325616177,DATE:2022-04-18 15:55:27.440871
UP:7538769.7446947545,DOWN:5764662.916712594,DATE:2022-04-18 15:55:53.683617
UP:0.0,DOWN:0.0,DATE:2022-04-18 15:56:16.517142
UP:7746810.06314786,DOWN:8389289.829993434,DATE:2022-04-18 15:58:03.202599
UP:6293944.3664503675,DOWN:18032282.738261845,DATE:2022-04-18 15:58:27.964675
UP:12494883.868014352,DOWN:31924653.87452504,DATE:2022-04-18 15:58:51.337301
UP:10605553.012675809,DOWN:25729472.830867603,DATE:2022-04-18 15:59:16.000034
UP:11963627.849997919,DOWN:19914301.318866562,DATE:2022-04-18 15:59:40.012171
UP:3735972.014794899,DOWN:16680524.07008765,DATE:2022-04-18 16:00:05.335360
